"県下","けんか","in the prefecture, prefectural"
"行き過ぎ","いきすぎ, ゆきすぎ","going too far, going to extremes"
"棚上げ","たなあげ","shelving (a matter, plan, etc.), pigeonholing, tabling, putting aside, putting on hold; keeping (goods) off the market (to adjust the supply-demand balance)"
"引き下げる","ひきさげる","to pull down, to lower, to reduce, to withdraw"
"燃費","ねんぴ","fuel consumption, gas mileage"
"応急","おうきゅう","emergency, first-aid"
"開館","かいかん","opening (for that day's business; of a library, museum, cinema, etc.); opening (of a new library, museum, cinema, etc.)"
"人類学","じんるいがく","anthropology"
"励み","はげみ","encouragement, incentive, stimulus"
"一人歩き","ひとりあるき","taking on a life of its own (of a rumour, etc.); walking by oneself, taking a walk by oneself; walking unaided, being able to walk without help; standing on one's own feet, being independent, taking care of oneself"
"試行錯誤","しこうさくご","trial and error"
"時給","じきゅう","hourly pay, hourly wage"
"倍増","ばいぞう","doubling, double"
"免税","めんぜい","tax exemption, duty exemption"
"学童","がくどう","schoolchild, pupil; after-school childcare"
"希少","きしょう","scarce, rare"
"年齢層","ねんれいそう","age range, age-group, age bracket"
"配送","はいそう","delivery"
"急成長","きゅうせいちょう","rapid growth"
"多発","たはつ","repeated occurrence, frequently occurring"
"食費","しょくひ","food expenses, money for food, charge for board"
"通行止め","つうこうどめ","closure (of a road), suspension of traffic; Road Closed, No Through Road, closed to traffic"
"一新","いっしん","complete change, reform, restoration, remodeling, remodelling, renewal"
"査定","さてい","assessment (of value, damages, etc.), revision (of a budget)"
"仕立て","したて","tailoring, sewing, cut; (special) preparation; teaching, training"
"市政","しせい","municipal government"
"女神","めがみ","goddess"
"税引き","ぜいびき, ぜいひき","after (deduction of) tax, after-tax (income or profits), excluding tax (of a price)"
"遅延","ちえん","delay, latency"
"完売","かんばい","selling out, being sold out"
"少数意見","しょうすういけん","minority opinion"
"火曜","かよう","Tuesday"
"改訂","かいてい","revision (of text), alteration, change"
"断熱","だんねつ","insulation"
"競合","きょうごう","contention, competition, rivalry, quarrel"
"再考","さいこう","reconsideration"
"手直し","てなおし","adjustment, tweaking, improvement, modification, tinkering, minor alteration, correction"
"人中","ひとなか","society, company, the public, the world"
"塗り替える","ぬりかえる","to repaint, to paint again, to paint (a different colour); to change completely, to break (a record), to redraw (e.g. the map), to remake"
"比","ひ","ratio, proportion; match, equal, equivalent, comparison; compared with ..., relative to ...; Philippines; explicit comparison (style of the Shi Jing)"
"風通し","かぜとおし, かざとおし","ventilation; communication (within an organisation), openness"
"原本","げんぽん","the original, original copy, script"
"公金","こうきん","public funds"
"生成","せいせい","creation, generation, formation, derivation"
"創造的","そうぞうてき","creative"
"動画","どうが","video (esp. digital), video clip, clip; animation, animated cartoon; in-betweens (animation)"
"背泳ぎ","せおよぎ","backstroke (swimming)"
"娘婿","むすめむこ","son-in-law"
"法律事務所","ほうりつじむしょ","law office, law firm"
"共用","きょうよう","common use, communal use, sharing"
"食中毒","しょくちゅうどく","food poisoning"
"信号機","しんごうき","traffic light, traffic signal; signal (mechanism), semaphore (apparatus)"
"電気製品","でんきせいひん","electronic goods"
"配線","はいせん","wiring"
"負荷","ふか","burden; load (electrical, CPU, etc.)"
"本調子","ほんちょうし, ほんじょうし","one's normal condition, one's usual state; keynote (esp. shamisen), proper key"
"税込み","ぜいこみ","including tax (of a price), pretax (income or profits), before tax"
"留め金","とめがね","clasp, latch, catch, fastener"
"囲い","かこい","enclosure, fence, wall, pen, paling; storage (of fruit, vegetables, etc.); partitioned area of a room for conducting tea ceremonies; mistress; castle, strong defensive position"
"委任","いにん","entrusting, charge, delegation, authorization"
"掛け","かけ","credit; money owed on an account, bill; hanger, holder, rest, rack, peg, hook, stand; in the process of (doing), midway through, half-(done); on the verge of, just about to; hot noodles in broth; wholesale price as a proportion of the list price (in tenths)"
"開校","かいこう","opening a school"
"英知","えいち","wisdom, intelligence, sagacity"
"顔負け","かおまけ","being put to shame, being outshone, being eclipsed, feeling embarrassed"
"手引書","てびきしょ","handbook, manual, guide, primer"
"増水","ぞうすい","rising water (of river, lake, etc.), swelling water, increased water, high water"
"利かせる","きかせる","to bring out (the effect of), to put to good use, to make use of (e.g. threats), to use (e.g. intimidation), to take advantage of (e.g. one's influence), to season (with salt, etc.), to put in; to use (tact, wit, etc.), to exercise, to display"
"交通網","こうつうもう","transportation network, transport network, traffic network"
"試食","ししょく","sampling food, tasting, trying"
"純金","じゅんきん","pure gold, solid gold, fine gold"
"陣痛","じんつう","labour pains, labor pains, birth pains, contractions"
"日本式","にほんしき","Japanese style; Nihon-shiki romanization (of Japanese)"
"煩雑","はんざつ","complex, intricate, complicated, confused, troublesome, vexatious, cumbersome"
"余命","よめい","remainder of one's life, one's remaining days, time left (to live)"
"書き込み","かきこみ","writing; entry (e.g. to a form); posting (e.g. to a blog)"
"時流","じりゅう","fashion (current) of the times, general drift of affairs"
"帳消し","ちょうけし","writing off (a debt), cancellation, balancing the books; cancelling out (gains or losses), making even, making up (for), offsetting, undoing, wiping out"
"行楽地","こうらくち","tourist resort, holiday resort"
"緑茶","りょくちゃ","green tea, Japanese tea"
"月日","つきひ","time, years, days, (one's) life; the Moon and the Sun"
"食パン","しょくパン","(loaf of) bread, bread in a rectangular shape"
"衣食住","いしょくじゅう","food, clothing and shelter, necessities of life"
"死語","しご","dead language, extinct language; obsolete word, dated word, word that has become passé"
"無税","むぜい","duty-free, tax-free"
"書式","しょしき","prescribed form (of writing), format"
"便秘","べんぴ","constipation"
"塩水","しおみず, えんすい","salt water, brine"
"売り手","うりて","seller, vendor"
"熟語","じゅくご","kanji compound; idiom, idiomatic phrase"
"返品","へんぴん","returned goods, returning purchased goods"
"漢詩","かんし","Chinese poem, Chinese poetry"
"性病","せいびょう","sexually transmitted disease, STD, sexually transmitted infection, STI, venereal disease, VD"
"用例","ようれい","example, illustration"
"筋違い","すじちがい","cramp, sprain, crick, strain (muscle); unreasonableness, absurdity; illogical, unreasonable; misdirected, misplaced, wrong (of estimate, guess)"
"過小評価","かしょうひょうか","underestimation, undervaluation"
"大麦","おおむぎ, オオムギ","barley (Hordeum vulgare)"
"警報器","けいほうき","alarm (fire, burglar, railroad-crossing, etc.), sensor"
"朝晩","あさばん","morning and evening; all the time, always, every day, day and night"
"刈り取る","かりとる","to mow, to reap, to harvest"
"亡夫","ぼうふ","deceased husband, late husband"
"雨漏り","あまもり","roof leak"
"添削","てんさく","correction, looking over, touching up"
"脇役","わきやく","supporting role (actor), minor role"
"上り下り","のぼりくだり, のぼりおり","going up and down, ascent and descent, climb and descent"
"超音速","ちょうおんそく","supersonic speed"
"分割払い","ぶんかつばらい","payment by installments, payment by instalments, hire-purchase"
"翌週","よくしゅう","the following week, the next week"
"開拓者","かいたくしゃ","pioneer, settler, colonist"
"滑り台","すべりだい","(playground) slide; (ship) launching platform, sliding ways, slipway"
"定規","じょうぎ","(measuring) ruler"
"洋書","ようしょ","Western book"
"短め","みじかめ","shortish, rather short, somewhat short"
"水牛","すいぎゅう, スイギュウ","water buffalo (Bubalus bubalis), domestic Asian water buffalo; wild water buffalo (Bubalus arnee), Asian water buffalo"
"軽食","けいしょく","light meal, snack, refreshments"
"升","ます, マス","measuring container, measuring box, measure; box (seating at a theatre, etc.); square on a grid, cell of a grid; square bearing block (at the top of a pillar)"
"誤字","ごじ","misprint, misspelling, typo, typographical error, erratum"
"若人","わこうど, わかうど, わかびと","young person"
"共稼ぎ","ともかせぎ","(husband and wife) earning a living together"
"割り勘","わりかん","splitting the cost, splitting the bill, Dutch treat"
"月並み","つきなみ, げつじ","every month; trite, commonplace, conventional, hackneyed"
"相撲取り","すもうとり, すまいとり","sumo wrestler, rikishi"
"不朽","ふきゅう","everlasting, immortal, eternal, enduring, undying, imperishable"
"乗り回す","のりまわす","to drive (a car) around, to ride (a bicycle) around"
"静粛","せいしゅく","silent"
"楽隊","がくたい","band, orchestra"
"類人猿","るいじんえん","anthropoid ape, anthropoid, ape"
"新雪","しんせつ","fresh snow, new snow"
"雨具","あまぐ","rain gear"
"絶交","ぜっこう","breaking off a relationship, permanent breach of friendship, rupture"
"Ｘ線","エックスせん","X-ray"
"呆ける","ボケる, ぼける","to grow senile, to be childish with age; to be mentally slow, to be befuddled; to play stupid, to say something stupid (oft. on purpose; esp. as part of a comedic routine)"
"腹いっぱい","はらいっぱい","having a full stomach, being full; to one's heart's content"
"お大事に","おだいじに","take care of yourself, get well soon"
"","カーネーション, カーネージョン","carnation (Dianthus caryophyllus)"
"","コミュニティ, コミュニティー","community"
"","コメディ, コメディー","comedy"
"","セルフサービス, セルフ・サービス","self-service"
"","テクノロジー, テクノロジ","technology"
"","ハイウェイ, ハイウェー, ハイウエー, ハイウエイ","highway"
"","ピンポン","ping-pong, table tennis"
"","プリンタ, プリンター","printer"
"","マネー","money"
"","レクリエーション, レクレーション, レクリェーション, リクリエーション, リクリェーション","recreation; re-creation"
"","レシート","receipt, cash-register slip"
"悪気","わるぎ","ill will, malice, evil intent"
"位","くらい","throne, crown, (nobleman's) seat; government position, court rank; social standing, rank, class, echelon, rung; grade (of quality, etc.), level, tier, rank; position of a figure (e.g. tens, thousands), digit, (decimal) place"
"遺失物","いしつぶつ","lost article, lost property"
"右上","みぎうえ","upper right"
"荷札","にふだ","label, tag"
"角","つの, ツノ","horn, antler; antenna, feeler, tentacle (e.g. of a snail); horn-like projection (e.g. peaks of whipped cream)"
"寒暖計","かんだんけい","thermometer"
"近日","きんじつ","soon, in a few days"
"消防署","しょうぼうしょ","fire station"
"乗り越す","のりこす","to ride past (one's stop), to overshoot; to climb over, to get over; to overtake (a vehicle), to pass"
"前","ぜん","last (i.e. immediately preceding), previous, ex-, former; pre- (e.g. premodern); before; before, earlier"
"努めて","つとめて","as much as possible, as far as possible, to the best of one's ability, diligently"
"日の入り","ひのいり","sunset"
"浮かれる","うかれる","to make merry, to be festive"
"副詞","ふくし","adverb"
"仏","ほとけ, ホトケ","Buddha, Shakyamuni; Buddhist image, figure of Buddha; the dead, dead person, departed soul; merciful person"
"某","ぼう","certain, one; I, me"
"北米","ほくべい","North America"
"洒落る","しゃれる","to dress stylishly; to joke, to play on words"
"選り分ける","よりわける, えりわける","to classify, to sort out, to sift through"
"吹き出物","ふきでもの","(skin) eruption, rash, pimple, spot, acne, boil"
"不幸せ","ふしあわせ","unhappiness, misfortune, ill luck"
"自営業","じえいぎょう","independent business, self-employment"
"年取った","としとった","old (person), aged"
"内向的","ないこうてき","introverted, withdrawn"
"お手数","おてすう, おてかず","trouble, bother"
"意思疎通","いしそつう","(reciprocal) communication, (coming to a) mutual understanding"
"販売員","はんばいいん","sales staff, salesperson"
"未","み","not yet, un-"
"飢え死に","うえじに, かつえじに","(death from) starvation, starving to death"
"くっ付ける","くっつける","to attach, to stick together, to paste, to glue; to place together, to put side by side; to make (someone) get married, to get (someone) hitched"
"","ずらす","to shift, to move, to slide; to move (an appointment, meeting, etc.), to bring forward, to put back, to put off, to delay, to postpone, to stagger (e.g. working hours)"
"","びしょびしょ, びちょびちょ, ビショビショ, ビチョビチョ","soaked, drenched, sopping, soppy, wet; incessantly (raining), drizzling"
"","アプリケーション, アプリケイション","application, application software; application, putting into use; application, request, petition"
"","アンプ","amp, ampere; amplifier"
"","インプット","input"
"","ウインタースポーツ, ウィンタースポーツ, ウインター・スポーツ, ウィンター・スポーツ","winter sports"
"","エコロジー, エコロジ","ecology; environmental movement, environmentalism"
"","エスニック","ethnic"
"","カメレオン","chameleon"
"","カリキュラム","curriculum"
"","ガリバー","Gulliver; preeminent example of its kind"
"","ガリレオ","Galileo"
"","クオート, クォート","quart"
"","クロス","cross; crossing, intersecting; cross (soccer)"
"","グランドピアノ, グランド・ピアノ","grand piano"
"","コーヒーショップ, コーヒー・ショップ","coffee shop"
"","コールドゲーム, コールド・ゲーム","called game"
"","コメディアン","comedian"
"","ゴールイン, ゴール・イン","reaching the winning post, reaching the finish, making the goal; getting married"
"","サーブ","serve; serving (e.g. of food)"
"","シーン","scene, sight; scenario, setting"
"","ジン","gin"
"","スキーヤー","skier"
"","ステッカー, ステッカ","sticker, (adhesive) label"
"","スパイス","spice"
"","センセーション","sensation"
"","ソナタ","sonata"
"","デンバー, デンヴァー","Denver"
"","トースター","toaster"
"","トラクター, トラクタ","tractor"
"","トランペット","trumpet"
"","ドラッグストア, ドラックストア, ドラッグストアー, ドラックストアー","drugstore, pharmacy"
"","ニッケル","nickel (Ni)"
"","ノンストップ","nonstop (journey)"
"","ハリケーン, ハリケイン","hurricane"
"","バクテリア, バクテリヤ","bacteria, bacillus, germ"
"","バトン","baton (relay, orchestral conducting, etc.)"
"","パスワード","password"
"","ビーフ","beef"
"","プリズム","prism"
"","ヘッドホン, ヘッドフォン, ヘッドホーン, ヘッドフォーン","headphone, headphones"
"","ヘビー, ヘヴィ, ヘビイ","heavy"
"","ヘロイン","heroin"
"","ペニシリン","penicillin"
"","ホイール, ホイル","wheel (esp. of a vehicle)"
"","ホッケー","(field) hockey"
"","ホワイトカラー, ホワイト・カラー","white-collar (worker)"
"","ボウリング, ボーリング","bowling (esp. tenpin)"
"","マイカー, マイ・カー","one's own car, privately owned car"
"","マヤ","Maya (ancient Indian tribe in Central America)"
"","ラジウム","radium (Ra)"
"","リレー","relay"
"","ルックス","looks"
"","レスキュー","rescue"
"","レスリング","wrestling"
"","レセプション, リセプション","reception"
"","ロースト","roast"
"","ローラースケート, ローラー・スケート","roller skating, roller skates"
"燥ぐ","はしゃぐ","to make merry, to frolic, to be in high spirits"
"捥ぐ","もぐ","to pluck (esp. by twisting from a tree), to pick (e.g. apples)"
"","リストラ","(corporate) restructuring; downsizing, laying off (workers)"
"お持て成し","おもてなし","hospitality, reception, treatment, service, entertainment; (light) refreshment, entertaining with food and drink, treat"
"","セラピー","therapy"
"","からって, からとて","just because, even if, even though"
"驕る","おごる","to be proud, to be haughty, to be arrogant, to be conceited, to brag, to show off"
"","ウォッカ, ウオッカ, ウオツカ, ウォトカ, ヴォトカ, ウォツカ, ウオトカ, ヴォッカ, ヴォドカ, ヲッカ","vodka"
"","ホット","hot; (hot) coffee"
"透かさず","すかさず","without a moment's delay, at once, immediately, instantly, promptly, without hesitation"
"粗末","そまつ","crude, rough, plain, humble, shabby, poor-quality, low-quality"
"整う","ととのう","to be ready, to be prepared, to be arranged; to be in order, to be put in order, to be well-ordered, to be well-proportioned, to be harmonious; to be adjusted, to be regulated, to be refined (e.g. of a face); to be settled (e.g. treaty, contract), to be completed"
"祭壇","さいだん","altar"
"注ぐ","つぐ","to pour (into a vessel), to fill (a cup, bowl, etc.) with, to dish out (food or drink)"
"","くるくる, クルクル","whirling, revolving, spinning, going round and round; coiling around, winding around, rolling around; working tirelessly, working hard; constantly changing"
"阿蘭陀","オランダ","Netherlands, Holland"
"後者","こうしゃ","the latter, the second; successor, descendant"
"獅子","しし","lion; left-hand (stone) guardian lion-dog at a Shinto shrine"
"善良","ぜんりょう","good (person, nature, etc.), good-natured, virtuous, honest"
"輸送","ゆそう","transport, transportation, transit, conveyance"
"一時的","いちじてき","temporary, transitory, short-lived"
"役員","やくいん","director, executive; officer, official, person in charge"
"天狗","てんぐ","tengu, red-faced and long-nosed goblin said to reside deep in the mountains; bragging, conceit, braggart, boaster, conceited person"
"縺れる","もつれる","to tangle, to get tangled, to get entangled; to have poor control over (one's tongue, feet, etc.), to trip over; to become complicated, to become difficult, to become tricky, to get into a tangle, to become messy"
"帰還","きかん","return (home), repatriation; feedback (in an electronic circuit, biological system, etc.)"
"日光","にっこう","sunlight, sunshine, sunbeams; Nikkō (city in Tochigi)"
"予約","よやく","reservation, appointment, booking, advance order; contract, subscription, pledge; programming (e.g. a device), setting (e.g. a timer)"
"重力","じゅうりょく","gravity, gravitation, gravitational pull"
"靴下","くつした","socks, sock, stockings, stocking"
"","フロア, フロアー","floor; dance floor; sales floor; floor (of a building), storey, story"
"儚い","はかない","fleeting, transient, short-lived, momentary, ephemeral, fickle, vain; empty (dream, etc.), mere (hope), faint (possibility)"
"入手","にゅうしゅ","acquisition, obtaining, procurement, getting (hold of)"
"自動","じどう","automatic; intransitive verb"
"降下","こうか","descent, fall, drop, (atmospheric) depression; passing down (of an order, decree, etc.)"
"不在","ふざい","absence; disregard, indifference"
"悪さ","わるさ","badness, mean mischief"
"蚊","か, カ","mosquito"
"慈悲","じひ","mercy, compassion, clemency, pity, charity, benevolence; rufous hawk-cuckoo, northern hawk-cuckoo"
"大木","たいぼく","large tree"
"軍団","ぐんだん","army corps, corps"
"共同","きょうどう","cooperation, collaboration, association, partnership, (acting in) unison; community, communal use, common possession, sharing"
"","ナンバー","number; number plate, license plate"
"従来","じゅうらい","up to now, so far; traditional, conventional, usual, existing"
"証","あかし","proof, evidence, sign, testimony, testament (to something), vindication; witnessing, testifying, testimony"
"設備","せつび","equipment, facilities, installation, accommodations, conveniences, arrangements"
"","ボックス","box, container, bin; box (in a theatre), booth (in a restaurant, etc.), (orchestra) pit; small rectangular building (e.g. telephone box); rectangular field area (e.g. batter's box, catcher's box); box (calfskin); central 4x4 area (othello)"
"複数","ふくすう","plural, multiple; plural (number)"
"原理","げんり","principle, theory, fundamental truth"
"異変","いへん","unusual event, strange occurrence, strange phenomenon, something abnormal, change (for the worse), accident, disaster"
"規則","きそく","rule, regulation"
"嫁ぐ","とつぐ","to marry (of a woman), to become a bride, to marry into (a family); to have sexual intercourse"
"狸","たぬき, タヌキ","tanuki (Nyctereutes procyonoides), raccoon dog; sly dog, sly old fox, sly fox, cunning devil, sly person"
"幼子","おさなご","infant, baby, little child"
"葉書","はがき, ハガキ","postcard; memo, note, card"
"三男","さんなん","three sons; third son"
"米軍","べいぐん","US armed forces"
"繭","まゆ","cocoon"
"花火","はなび","fireworks"
"突き刺す","つきさす","to stab, to stick, to pierce, to thrust"
"収容","しゅうよう","accommodation, taking in, receiving, housing, seating, admission (of patients, students, etc.); imprisonment, detention, internment; containing (e.g. words in a dictionary), adding"
"親類","しんるい","relative, relation, kin"
"戦闘機","せんとうき","fighter (aircraft)"
"茶の間","ちゃのま","(Japanese-style) living room"
"一刻","いっこく","a moment, a minute, an instant; stubborn, obstinate"
"教養","きょうよう","(understanding or appreciation of) culture, (one's) education, cultivation, sophistication, refinement"
"","じっくり","(slowly and) carefully, without haste, thoroughly, deliberately, closely, meticulously"
"恩","おん","favour, favor, obligation, debt of gratitude"
"費","ひ","cost, expense"
"廃墟","はいきょ","ruins (of a building, town, etc.), remains"
"","キャンプ","camp, camping"
"反撃","はんげき","counterattack, counteroffensive, counterblow"
"家出","いえで","running away from home, elopement; outing, going out; becoming a Buddhist monk, entering the priesthood"
"","オール","all; (pulling an) all-nighter, staying up all night"
"突如","とつじょ","suddenly, all of a sudden, unexpectedly"
"脂","あぶら","fat, tallow, lard, grease"
"侯","こう","marquis, second highest rank of the five ranks of nobility; daimyo"
"莫大","ばくだい","vast, huge, immense, enormous, colossal; malva nut (Scaphium affine)"
"指令","しれい","order, directive, instructions, command"
"今晩は","こんばんは, こんばんわ","good evening"
"直径","ちょっけい","diameter"
"足早","あしばや","fast (walking), quick, brisk; quick (passing of time), rapid, swift"
"","デッキ","deck (of a ship); deck (attached to a building); platform (at the end of a railway passenger car), vestibule; observation deck (esp. at an airport); tape deck; deck (of cards)"
"頻繁","ひんぱん","frequent, incessant"
"良心","りょうしん","conscience"
"","すっきり, スッキリ","refreshingly, with a feeling of relief, pleasantly, (a weight) off one's shoulder; shapely, neatly, refinedly; cleanly, without trouble; clearly, plainly, distinctly; completely, thoroughly; not at all (with negative sentence), not even slightly"
"嫌らしい","いやらしい, やらしい","unpleasant, disagreeable, nasty; lewd, lascivious, obscene, filthy, dirty"
"","キング","king; king; king (chess piece)"
"否","いや","no"
"翁","おきな, おう","old man, venerable gentleman; venerable, old, father"
"電波","でんぱ, デムパ, デンパ","radio wave, reception, signal; saying strange things"
"河原","かわら","dry riverbed, river beach"
"限りない","かぎりない","unlimited, endless, boundless, infinite"
"同級生","どうきゅうせい","classmate"
"興味深い","きょうみぶかい","very interesting, of great interest"
"強制","きょうせい","compulsion, coercion, forcing (to do), enforcement"
"上体","じょうたい","upper body"
"由来","ゆらい","origin, source, history, derivation; originally, from the start, by nature"
"吸収","きゅうしゅう","absorption, suction, attraction"
"炎","ほのお, ほむら","flame, blaze; flames (of intense emotion, e.g. love, jealousy, anger), passion"
"皆様","みなさま","everyone"
"分野","ぶんや","field, sphere, realm, division, branch"
"包丁","ほうちょう","kitchen knife; cooking, food"
"","ミルク","milk; infant formula, formula, baby milk; condensed milk"
"数学","すうがく","mathematics"
"肉体的","にくたいてき","bodily, physical, corporeal; sexual, sensual, of the flesh"
"こいつ等","こいつら","these guys, these fellows"
"食料","しょくりょう","food"
"異国","いこく","foreign country"
"敷地","しきち","site, plot, lot, grounds"
"","ランド","land"
"籍","せき","one's family register, one's domicile; nationality; membership (club, party, etc.)"
"大砲","たいほう","(large) gun, cannon, artillery; long-ball hitter, home-run hitter"
"幾度","いくど, いくたび","(how) many times, (how) often"
"とは限らない","とはかぎらない","not necessarily so, is not always true, there is no guarantee that..., there is no telling"
"見直す","みなおす","to look at again; to re-examine (policy, estimate, plan, etc.), to review; to get a better opinion of, to see in a more positive light; to improve, to recover (market, illness, etc.)"
"胴体","どうたい","trunk, torso, body; body (of an aircraft), fuselage, hull (of a ship)"
"数時間","すうじかん","a few hours, several hours, a couple of hours"
"街路","がいろ","road, street, avenue"
"下町","したまち","low-lying part of a city (usu. containing shops, factories, etc.); Shitamachi (low-lying area of eastern Tokyo near Tokyo Bay, incl. Asakusa, Shitaya, Kanda, Fukugawa, Honjo, Nihonbashi, Kyobashi and surrounds)"
"箇所","かしょ","place, point, part, spot, area, passage, portion; counter for places, parts, passages, etc."
"火星","かせい","Mars (planet)"
"転がす","ころがす","to roll, to wheel, to trundle, to drive (a car); to turn over, to tip over, to throw down; to leave; to buy and sell (quickly for a profit)"
"書房","しょぼう","study, library; bookstore, bookshop, publishing company"
"解く","ほどく","to undo, to untie, to unfasten, to unlace, to unravel, to loosen, to unpack"
"大理石","だいりせき","marble"
"中原","ちゅうげん","middle of a field, middle of a country, field of contest"
"大物","おおもの","important person, influential figure, big shot, big name, bigwig, heavyweight; big thing, big one, big game, big catch, whopper, valuable thing"
"辞意","じい","intention to resign"
"","タール","tar"
"末端","まったん","end, tip, extremities, terminal; rank and file, part of an organisation furthest from the centre"
"稲妻","いなずま, いなづま","lightning, flash of lightning, lightning bolt"
"括弧","かっこ, カッコ","brackets, parentheses"
"店長","てんちょう","shop manager"
"麻布","あさぬの, まふ","hemp cloth, linen"
"紙袋","かみぶくろ, かんぶくろ","paper bag"
"読書","どくしょ, とくしょ","reading (books)"
"鼻先","はなさき","tip of nose; before one's eyes, under one's nose, in front of; tip (of something)"
"極","ごく","quite, very; 10^48, quindecillion"
"","ぶるぶる, ブルブル","trembling (with fear, anger, etc.), shivering (with cold), shaking, quivering"
"生々しい","なまなましい","vivid (memory, description, etc.), fresh, graphic, raw, true-to-life, first-hand (experience); fresh (blood, scar, etc.), still new, recent, just occurred"
"清潔","せいけつ","clean, hygienic, sanitary; pure, virtuous, immaculate"
"考慮","こうりょ","consideration, taking into account"
"","ブラック","black; black (coffee); exploitative (company), overly harsh, abusive, oppressive, unethical; boldface, blackface, heavy-faced type"
"収穫","しゅうかく","harvest, crop, ingathering; fruits (of one's labors), gain, result, returns; catch (fishing), bag (hunting), haul"
"反する","はんする","to be contrary (to), to go against, to run counter (to), to contradict, to be opposite (to); to infringe, to violate, to transgress; to disobey (an order, teachings, etc.), to defy, to rebel, to revolt"
"支持","しじ","support, backing, endorsement, approval; propping up, holding up, support"
"双","そう","pair"
"研究室","けんきゅうしつ","laboratory; seminar room; professor's office"
"虹","にじ","rainbow"
"修道院","しゅうどういん","monastery, convent, cloister, abbey"
"大人しい","おとなしい","gentle, quiet, mild, meek, obedient, docile, well-behaved, tame; quiet (color, pattern, etc.), sober"
"生意気","なまいき","impertinent, saucy, cheeky, impudent, audacious, cocky, pert, brash"
"演出","えんしゅつ","direction (of a play, film, etc.), production; organization (of an event), arrangement, staging (for effect), orchestration"
"交互","こうご","alternate, alternating"
"携える","たずさえる","to carry in one's hand, to carry with one, to have on one's person, to bear; to take along (someone), to take (someone) with one, to be accompanied by"
"鋏","はさみ, ハサミ","scissors, shears, clippers; hole punch"
"","ピント","focus (of a lens), focal point; point (of a discussion, e.g. on-point, off-point)"
"小山","こやま","hill, knoll"
"報告書","ほうこくしょ","(written) report"
"使用人","しようにん","employee, servant"
"出勤","しゅっきん","going to work, leaving for work, attendance (at work), being at work, presence (in the office), reporting for work"
"再現","さいげん","reappearance, reemergence, return, revival; reproduction, reenactment, recreation"
"蓄える","たくわえる","to store, to save up, to stock up on, to lay in stock, to set aside; to accumulate (e.g. knowledge), to build up (e.g. experience), to develop (e.g. one's skills); to grow (a beard, moustache, etc.), to wear"
"奈良","なら","Nara (city, prefecture)"
"連邦","れんぽう","federation (of states), confederation, commonwealth, union"
"牛乳","ぎゅうにゅう","(cow's) milk"
"不良","ふりょう","bad, poor, inferior, defective; delinquent, hoodlum, hooligan"
"１年生","いちねんせい","first-year student, first-year pupil; beginner, novice, newcomer, person who has been in a role for less than a year; annual; annual plant"
"排気","はいき","exhaust, emission (of gas from an engine); expulsion (of air), ventilation"
"凶器","きょうき","dangerous weapon, lethal weapon, deadly weapon, murder weapon"
"境遇","きょうぐう","one's circumstances, environment, situation (in life)"
"所在","しょざい","location (of), position, whereabouts, place where one is"
"殺気","さっき","thirst for blood, bloodlust, determination to kill"
"撤退","てったい","evacuation, withdrawal, revocation, repeal, retreat"
"屈辱","くつじょく","disgrace, humiliation"
"","ワンピース","dress; one-piece (e.g. swimsuit)"
"合点","がてん, がってん","consent, assent, understanding, agreement, comprehension, grasp"
"礼儀","れいぎ","manners, courtesy, etiquette"
"外人","がいじん, ガイジン","foreigner (esp. one of European ancestry), gaijin; outsider"
"判決","はんけつ","judicial decision, judgement, judgment, sentence, decree"
"十両","じゅうりょう","second highest division, wrestlers of the second highest division"
"齢","よわい","(one's) age"
"庶民","しょみん","common people, ordinary people, masses"
"事前","じぜん","prior, beforehand, in advance, before the fact, ex ante"
"丸っきり","まるっきり","completely, absolutely, totally, (not) at all"
"執筆","しっぴつ","writing, authoring"
"外野","がいや","outfield; outfielder; outfield bleachers; third party, outsider, onlooker, bystander"
"教わる","おそわる","to be taught, to learn, to take lessons in"
"金銭","きんせん","money, cash"
"知的","ちてき","intellectual"
"大野","おおの","large field"
"漸く","ようやく","finally, at last; barely, narrowly, hardly, only just; gradually, little by little, by degrees"
"情景","じょうけい","spectacle, sight, scene"
"中世","ちゅうせい","Middle Ages (in Japan esp. the Kamakura and Muromachi periods), medieval times, mediaeval times"
"脈","みゃく","pulse; vein; chain (of mountains, etc.); hope; thread (of an argument)"
"規定","きてい","stipulation, prescription, provision, regulation, rule; normal (unit of normality); compulsory exercise (in gymnastics), compulsory routine, compulsory dance (figure skating), (a) compulsory"
"交わる","まじわる","to cross, to intersect, to join, to meet; to associate with, to mingle with, to consort with; to have a sexual relationship, to copulate"
"再開","さいかい","reopening, resumption, restarting"
"青空","あおぞら","blue sky"
"鉢","はち","bowl, pot, basin; flowerpot; crown, brainpan"
"見失う","みうしなう","to lose sight of, to miss"
"披露","ひろう","announcement, presentation, demonstration, displaying, showing, introducing, unveiling, revealing, performing"
"身なり","みなり","dress, attire, clothing, getup, outfit, personal appearance"
"損なう","そこなう","to harm, to hurt, to injure, to damage, to spoil, to mar, to ruin; to fail to do, to do amiss, to miss one's opportunity to do; to almost do, to come close to doing"
