"責任","せきにん","duty, responsibility (incl. supervision of staff); liability, onus"
"目覚まし","めざまし","alarm clock; waking up, keeping oneself awake; early-morning treat (traditionally given to children in some parts of Japan), wake-up sweet"
"空オケ","からオケ, カラオケ","karaoke"
"","ソフトウェア, ソフトウエア","software"
"航空券","こうくうけん","airline ticket, plane ticket, air ticket"
"送別会","そうべつかい","farewell party"
"当店","とうてん","this store"
"必需品","ひつじゅひん","necessities, necessary article, requisite, essentials"
"申込書","もうしこみしょ","(written) application, application form"
"無さそう","なさそう","does not seem, unlikely, improbable"
"","ばれる, バレる","to leak out (of a secret), to come out, to be exposed (of a lie, improper behaviour, etc.), to be found out, to be discovered; to get away (of a fish)"
"矢鱈","やたら","indiscriminately, blindly, at random, recklessly, thoughtlessly, excessively, profusely; indiscriminate, random, excessive"
"","え","eh?, what?, oh?; yes, that's correct; strengthens a question, assertion, etc.; hey"
"将来","しょうらい","future, (future) prospects; bringing (from abroad, another region, etc.); bringing about, giving rise to, causing, incurring"
"鳩","はと, ハト","pigeon, dove"
"親切","しんせつ","kind, gentle, considerate, generous, friendly, nice"
"７月","しちがつ, なながつ","July; seventh month of the lunar calendar"
"６月","ろくがつ","June; sixth month of the lunar calendar"
"","でさえ","even (e.g. even a child); as long as (it is, you are, etc.), (if) only, just"
"単純","たんじゅん","simple, plain, uncomplicated, straightforward, simple-minded, naive"
"飛行機","ひこうき","airplane, aeroplane, plane, aircraft"
"京","きょう, けい","imperial capital (esp. Kyoto); final word of an iroha poem; 10^16, 10,000,000,000,000,000, ten quadrillion"
"是非","ぜひ","certainly, without fail; right and wrong, pros and cons"
"足りる","たりる","to be sufficient, to be enough; to be worth doing, to be worthy of, to deserve; to do (the job), to serve, to answer"
"以下","いか, いげ","not exceeding ..., not more than ..., ... and under, ... and below, ... or fewer; below (a standard, level, etc.), under, beneath, less than; the following, the below-mentioned, the rest, followed by ...; including ..., ... and other (employees, officials, etc.)"
"異端","いたん","heresy, nonconformism, heathenism, paganism"
"用いる","もちいる","to use, to make use of, to utilize, to utilise"
"公園","こうえん","(public) park"
"誇る","ほこる","to boast of, to be proud of, to take pride in"
"前後","ぜんご","front and rear, front and back, before and behind, back and forth; before and after; around, about, approximately; order, context; consequences; just when, around the time of; inversion, reversion, getting out of order; co-occurring, happening at the same time"
"尼僧","にそう","Buddhist nun; Catholic nun, sister"
"一掃","いっそう","clean sweep, purging, doing away with, eradication"
"冷静","れいせい","calmness, composure, coolness, serenity, presence of mind"
"","そうですね","that's so, isn't it"
"促す","うながす","to urge, to encourage, to press, to prompt, to draw (attention to); to stimulate (e.g. growth), to hasten (e.g. development), to quicken, to accelerate, to promote"
"","っぽい, ぽい","-ish, -like"
"襟","えり","collar, lapel, neckband, neck; nape of the neck, scruff of the neck"
"大阪","おおさか","Osaka (city, prefecture)"
"者","もの, もん","person"
"前方","ぜんぽう","ahead, forward, (in) front; having a square front"
"裏切る","うらぎる","to betray, to turn traitor (to), to double-cross, to go back on, to be unfaithful (to); to disappoint, to let down"
"風景","ふうけい","scenery, scene, landscape, view, sight; scene (e.g. of a crime)"
"苦痛","くつう","pain, agony, suffering, distress, torment"
"中年","ちゅうねん","middle-age, middle age, midlife, one's middle years"
"皮肉","ひにく","irony, sarcasm, cynicism, satire; unexpected, different from what one expected, not as one had planned; (only) surface, something superficial; skin and bone, body"
"農","のう","farming, agriculture"
"画する","かくする","to draw (a line); to demarcate, to mark, to divide, to map out; to plan"
"惜しい","おしい","regrettable, disappointing, unfortunate; precious, dear, valuable; too good for, deserving better; almost (but not quite), close (but no cigar)"
"衝撃","しょうげき","impact, shock, impulse; (psychological) shock"
"道具","どうぐ","tool, implement, instrument, utensil, apparatus, device; means; furniture"
"移す","うつす","to transfer (to a different place, group, etc.), to change, to swap, to substitute; to move to the next stage (of a plan, etc.); to divert (one's attention) to; to spend (time), to let (time) pass; to infect; to permeate something (with a color, smell, etc.)"
"秒","びょう","second (unit of time); arc second"
"毛","け","hair; fur, wool; down, plumage, feathers"
"視界","しかい","field of vision, visibility, view, visual field, (one's) ken"
"十八","じゅうはち","eighteen, 18"
"","たっぷり","plentifully, amply, abundantly, copiously, generously, fully, a lot; loosely, with room to spare, with enough space, (large) enough; a good (e.g. two weeks, ten kilometres), a full, at least, no less than"
"幽霊","ゆうれい","ghost, specter, spectre, apparition, phantom"
"奴ら","やつら, ヤツら","they, those guys"
"癖","くせ, へき, クセ","habit (usu. a bad one), tendency; peculiarity, idiosyncrasy, mannerism, quirk; crease, wrinkle, curl, kink"
"袖","そで","sleeve; wing (of a stage, desk, gate, etc.); flap (of a dust jacket)"
"自動車","じどうしゃ","car, automobile, motorcar, motor vehicle, auto"
"好む","このむ","to like, to prefer"
"似せる","にせる","to copy, to imitate, to counterfeit, to forge"
"恵む","めぐむ","to bless, to show mercy to; to give (money, etc.)"
"直ちに","ただちに","at once, immediately, right away, without delay; directly (face, lead to, etc.), automatically (mean, result in, etc.)"
"一気に","いっきに","in one go, in one gulp, in one breath, without stopping, without pausing, without a rest, in one sitting, at a stretch; suddenly, all of a sudden, all at once"
"趣味","しゅみ","hobby, pastime; tastes, preference, liking"
"勇気","ゆうき","courage, bravery, valour, valor, nerve, boldness"
"偶々","たまたま","by chance, by accident, accidentally, happen to (be, do), unexpectedly, casually; occasionally, once in a while, now and then"
"運動","うんどう","exercise, physical training, workout, sports, athletics; appeal, campaign, drive, crusade, movement, lobbying; motion, movement"
"最大","さいだい","biggest, greatest, largest, maximum"
"引きずる","ひきずる","to drag, to trail, to pull along the ground, to lug; to force (someone) along, to drag (along); to prolong, to drag out; to influence, to persuade, to entice, to lure"
"自分自身","じぶんじしん","oneself, myself"
"参加","さんか","participation, joining, entry"
"複雑","ふくざつ","complex, complicated, intricate, mixed (feelings)"
"陛下","へいか","Your Majesty, His Majesty, Her Majesty"
"正面","しょうめん","front, frontage, facade, main"
"","いらっしゃい, いらしゃい","come, go, stay; welcome"
"雄","おす, おん, オス","male (animal, plant)"
"同じく","おなじく","in the same way, like, likewise, similarly"
"頭上","ずじょう","overhead, above one's head, high in the sky"
"熱心","ねっしん","zealous, enthusiastic, ardent, fervent, keen, eager"
"取り戻す","とりもどす","to take back, to get back, to regain, to recover, to restore, to recoup"
"追いかける","おいかける","to chase, to run after, to pursue; subsequently, following that, (and) then"
"押さえる","おさえる","to pin down, to hold down, to press down, to hold in place, to hold steady; to cover (esp. a part of one's body with one's hand), to clutch (a body part in pain), to press (a body part); to get a hold of, to obtain, to seize, to catch, to arrest; to grasp (a point), to comprehend; to quell, to subdue, to suppress, to repress, to hold back, to check, to curb, to contain"
"提げる","さげる","to take along, to hold in the hand; to hang (e.g. from the shoulder or waist)"
"彼方","かなた, あなた","beyond, across, the other side, the distance"
"犯罪","はんざい","crime, offence, offense"
"大きさ","おおきさ","size, dimensions, volume"
"刺す","さす","to pierce, to stab, to prick, to stick, to thrust; to sting, to bite; to sew, to stitch, to embroider; to pole (a boat); to catch (with a limed pole); to put (a runner) out, to pick off"
"謎","なぞ","riddle, puzzle, enigma, mystery; enigmatic, mysterious"
"内側","うちがわ, ないそく","inside, interior, inner part"
"無数","むすう","innumerable, countless, numberless"
"屡々","しばしば","often, again and again, frequently, repeatedly"
"発生","はっせい","occurrence, incidence, outbreak, birth (e.g. of civilization); generation (of power, heat, etc.), production; ontogeny, development, growth, breeding"
"国家","こっか","state, country, nation"
"凄まじい","すさまじい","terrible, dreadful, awful, horrible, ghastly; tremendous, terrific, enormous, prodigious, stupendous, amazing; appalling, shocking, staggering, absurd"
"","だらけ","full of (e.g. mistakes), riddled with; covered all over with (blood, mud, etc.)"
"野","の, や, ぬ","plain, field; hidden (structural) member; wild; lacking a political post"
"丁寧","ていねい","polite, courteous, civil; careful, close, thorough, conscientious"
"","イメージ","image (in one's mind), impression, imagining, mental image, (forming a) mental picture; (computer) image; depiction (e.g. of a product), rendition, impression"
"地位","ちい","(social) position, status, standing; position (in a company, organization, etc.), post, rank"
"教育","きょういく","education, schooling, training, instruction, teaching, upbringing; culture, cultivation, education"
"２月","にがつ","February; second month of the lunar calendar"
"結論","けつろん","conclusion (of an argument, discussion, study, etc.); conclusion"
"文学","ぶんがく","literature"
"に関して","にかんして","regarding ..., concerning ..., about ..., on ..., with respect to ..., in regard to ..."
"遮る","さえぎる","to interrupt, to obstruct (a view, someone's way, etc.), to block (light, wind, etc.), to intercept, to cut off"
"人類","じんるい","mankind, humanity"
"","せめて","at least, at most, (even) just"
"群","ぐん","group, bunch, crowd, throng, swarm, band; group"
"喧嘩","けんか, ケンカ","quarrel, brawl, fight, squabble, scuffle, argument"
"頻りに","しきりに","frequently, repeatedly, often, incessantly, constantly; eagerly, keenly, strongly, intently; hard, terribly, extremely, severely"
"倫敦","ロンドン","London (UK)"
"範","はん","example, model"
"勝負","しょうぶ","victory or defeat; match, contest, game, bout"
"","カー","car"
"横たわる","よこたわる","to lie down, to stretch out; to lie ahead (of danger, difficulty, etc.), to lie in wait"
"像","ぞう","image, figure, statue, picture, portrait; figure, form, shape, appearance; image"
"書類","しょるい","document, papers"
"漏れる","もれる","to leak out, to escape, to come through, to shine through, to filter out; to find expression, to give vent; to leak out, to be divulged, to be disclosed; to be omitted, to be left out, to be excluded, to be not included"
"艦隊","かんたい","(naval) fleet, armada"
"連れて行く","つれていく, つれてゆく","to take (someone to a place), to take (someone) with one, to take along, to lead away"
"神経","しんけい","nerve; nerves, sensitivity"
"永遠","えいえん","eternity, perpetuity, permanence, immortality"
"群れる","むれる","to crowd, to flock, to swarm"
"正体","しょうたい","true character, true form, true colors, identity, truth (of a mystery, phenomenon, etc.), origin; consciousness, one's senses"
"","ソファ, ソファー","sofa, couch"
"十六","じゅうろく","sixteen, 16"
"通","つう","authority, expert, connoisseur, well-informed person; counter for messages, letters, notes, documents, etc.; understanding (esp. of male-female relations), tact, insight; supernatural powers, magical powers"
"太鼓","たいこ","drum"
"体験","たいけん","(practical) experience, personal experience, hands-on experience, first-hand experience"
"危ない","あぶない, アブナい, あぶねー, あっぶねー","dangerous, risky, hazardous, perilous, precarious; in danger, in jeopardy, critical, grave, at risk; uncertain, unreliable, insecure, unsteady, doubtful; close (call), narrow (escape); look out!, watch out!, be careful!"
"愛情","あいじょう","love, affection"
"凡そ","およそ","about, roughly, approximately; generally, on the whole, as a rule; completely, quite, entirely, altogether, totally, not at all (with neg. verb); outline, gist"
"背負う","せおう, しょう","to carry on one's back; to be burdened with, to take responsibility for; to have (something) in the background, to be in front (of something); to be conceited, to think highly of oneself"
"言い出す","いいだす","to begin to say, to start talking, to broach (a matter), to bring up, to come out with; to be the first to say, to suggest (doing), to propose"
"今に","いまに","before long, even now"
"寝室","しんしつ","bedroom"
"現代","げんだい","present age, present day, today; modern era, modern times"
"弁護士","べんごし","lawyer, attorney"
"泳ぐ","およぐ","to swim; to struggle through (a crowd); to make one's way through the world, to get along (in life); to totter, to lose one's balance"
"刃","は","edge (of a knife or sword), blade; prong (of an electrical plug)"
"展開","てんかい","development, evolution, progression, unfolding, (plot) twist; expansion, spreading out, extending, deployment, building up; expansion (of an algebraic expression); development (of a three-dimensional shape); extraction (of compressed data), decompression, unpacking; sharing (information)"
"潰す","つぶす","to smash, to crush, to flatten; to shut down, to put out of business, to force (a company) to close up shop; to wreck, to break, to block, to thwart; to butcher, to slaughter, to kill (livestock, for food); to kill (time), to while away (the time), to use up (one's time); to waste (e.g. talents)"
"単なる","たんなる","mere, simple, sheer"
"","さっさと, サッサと","quickly, promptly, immediately, without delay, briskly, hurriedly, hastily; indifferently, coldly"
"お嬢さん","おじょうさん","(another's) daughter; young lady"
"歩む","あゆむ","to walk, to go on foot; to tread (a figurative path), to follow, to lead (a life), to experience; to advance towards (e.g. a solution), to set out (e.g. on the path to destruction, ruin, etc.), to embark (on the road to ...)"
"切手","きって","stamp (postage); merchandise certificate"
"合図","あいず","sign, signal, cue"
"芯","しん","wick, marrow, staple (for stapler), (pencil) lead, stuffing, pith; core, heart, centre, center; pistil (of a flower); stamen"
"係","かかり","charge, duty, person in charge, official, clerk; connection, linking"
"縛る","しばる","to tie, to bind, to fasten; to restrict (freedom), to tie down (with rules, regulations, etc.), to fetter"
"読者","どくしゃ","reader"
"証明","しょうめい","proof, testimony, demonstration, verification, certification"
"種類","しゅるい","variety, kind, type, category; counter for kinds, species, etc."
"模様","もよう","pattern, figure, design; state, condition; conjecture of the current situation, the way it seems; model, pattern, example; indicates that something seems likely (e.g. rain or storm); framework, territorial framework, moyo"
"目指す","めざす","to aim at (for, to do, to become), to try for, to have an eye on; to go toward, to head for"
"故郷","こきょう","hometown, birthplace, native place, one's old home"
"札","さつ","banknote, bill, note, paper money"
"養う","やしなう","to support, to maintain, to provide for; to bring up, to raise, to rear, to feed; to adopt (a child); to cultivate (a habit, a quality, etc.), to develop, to build up, to foster; to recuperate (from injury, illness, etc.)"
"応じる","おうじる","to respond, to satisfy, to accept, to comply with, to apply for"
"１０月","じゅうがつ","October; tenth month of the lunar calendar"
"１０日","とおか","10th day of the month; ten days"
"数える","かぞえる","to count, to enumerate"
"田舎","いなか","rural area, countryside, the sticks; hometown"
"陥る","おちいる","to fall into (e.g. a hole); to fall into (chaos, depression, dilemma, illness, etc.); to fall into (a trap, etc.); to fall, to surrender, to capitulate"
"祖父","そふ, じじ, じい, おおじ, おじ, そぶ","grandfather; old man; kyogen mask used for the role of an old man"
"射る","いる","to shoot (arrow, bolt, dart)"
"伏せる","ふせる","to turn over (face down), to lay face down, to lay upside down; to point downwards (eyes, head, etc.), to cast down (eyes); to lie (one's body) face down, to lie flat (on the ground); to conceal, to hide, to keep secret, to place in hiding (e.g. troops for an ambush); to lie down, to retire, to go to bed (with an illness)"
"帯","おび","obi (kimono sash); obi (strip of paper looped around a book, CD, etc. containing information about the product); band, belt, strip; cingulum; radio or television program broadcast in the same time slot on all or most days"
"偉い","えらい, エライ, エラい","great, excellent, admirable, commendable, laudable, honorable, wonderful, outstanding, extraordinary; distinguished, important, high-ranking, powerful, eminent, famous; awful, terrible, serious, tremendous, great, mighty, severe; tiring, tough, hard; very, extremely"
"役人","やくにん","government official"
"溶ける","とける","to melt, to thaw, to fuse; to dissolve"
"学ぶ","まなぶ","to learn, to study, to take lessons in"
"纏める","まとめる","to collect, to put (it all) together, to integrate, to consolidate, to unify; to summarize, to aggregate; to bring to a conclusion, to finalize, to settle, to put in order; to establish, to decide"
"自宅","じたく","one's home, one's house"
"日々","ひび, にちにち","daily, everyday; days (e.g. of one's youth); every day, day after day, day by day, from day to day"
"慰める","なぐさめる","to comfort, to console, to amuse"
"会議","かいぎ","meeting, conference, session, assembly, council, convention, congress"
"計算","けいさん","calculation, computation, reckoning, counting, adding up, working out, figures; consideration, calculation, estimation, expectation"
"","カウンター, カウンタ","counter, counting device; (service) counter (at a bank, store, etc.); counter (at a bar, cafe, etc.), bar; counter-attack (in soccer); counter, counterpunch; automatically responding with an upload slot to someone who allows you to download (e.g. in P2P systems)"
"紐","ひも, ヒモ","string, cord; leash; man who is financially dependent on a woman, gigolo, pimp; restrictions, conditions; mantle (shellfish, etc.); small intestine (beef, pork), oviduct meat (chicken)"
"","キス, キッス, チッス","kiss"
"韓国","かんこく","South Korea, Republic of Korea; Korean Empire (1897-1910)"
"円高","えんだか","appreciation of the yen, strong yen"
"狙い","ねらい","aim (of a gun, bow, etc.); aim, object, objective, purpose, intention, target"
"来春","らいしゅん, らいはる","next spring"
"運賃","うんちん","(passenger) fare; freight rates, shipping expenses"
"湯","ゆ","hot water; hot bath, hot spring; molten iron"
"木造","もくぞう","wooden, made of wood, wooden construction"
"果たして","はたして","as was expected, just as one thought, sure enough; really, actually, ever"
"欠かす","かかす","to miss (doing), to fail (to do); to do without"
"労働組合","ろうどうくみあい","labor union, labour union, trade union"
"割引","わりびき","discount, reduction, rebate; tenths discounted, tenths reduced"
"暴落","ぼうらく","slump, crash, heavy fall, sudden decline"
"減量","げんりょう","loss in weight (esp. body weight), weight reduction; loss in quantity, reduction of quantity"
"動議","どうぎ","motion (i.e. proposal to a committee, etc.)"
"育ち","そだち","growth, breeding; growing up (in, as), upbringing"
"礼拝","れいはい","worship (esp. Christian), (church) service"
"成年","せいねん","adult age, majority"
"赤信号","あかしんごう","red light (traffic); red light, signal to stop, sign of danger"
"恵み","めぐみ","blessing, grace"
"不便","ふべん","inconvenience, inexpediency, unhandiness"
"試し","ためし","trial, test"
"凝る","こる","to become stiff (of muscles); to get absorbed in, to develop a passion for, to devote oneself to, to become obsessed with, to get hooked on; to be elaborate, to be intricate, to be exquisite, to be particular about, to pay great attention to"
"間食","かんしょく","eating between meals, snacking"
"緩い","ゆるい","loose; lenient, lax; gentle (curve, slope, etc.); slow, weak; soft, not firm; difficult, hard"
"立ち入り禁止","たちいりきんし","No Entry, No Trespassing, No Admittance, Off Limits, Keep Out, Keep Off; off-limits, restricted, forbidden"
"ＣＤプレーヤー","シーディープレーヤー, シーディープレイヤー","CD player"
"","コック","cook, chef"
"","ラッシュアワー, ラッシュ・アワー","rush hour"
"雨宿り","あまやどり","taking shelter from rain"
"英単語","えいたんご","English word"
"応募者","おうぼしゃ","applicant"
"下らない","くだらない","trivial, trifling, insignificant, not worth bothering with, worthless, useless, good-for-nothing; stupid, nonsensical, absurd, foolish, silly"
"家","け","house, family"
"響く","ひびく","to resound, to be heard far away; to reverberate, to shake, to vibrate; to come (home), to remain (with someone); to have an effect, to make an impression"
"捲る","めくる","to turn over, to turn (pages), to leaf through (a book, etc.); to tear off, to strip off, to take off, to pull off (e.g. a blanket), to pull up (e.g. floorboards), to tear up"
"中華料理","ちゅうかりょうり","Chinese cooking, Chinese food"
"腕白","わんぱく","naughty, mischievous, unruly"
"脅かす","おびやかす","to intimidate, to frighten, to scare; to threaten (e.g. peace), to jeopardize, to endanger, to imperil"
"店","てん","store, shop, restaurant"
"寝過ごす","ねすごす","to oversleep"
"","エアロビクス","aerobics"
"","オーブン, オーヴン","oven"
"","ニュートン","newton (N) (SI unit of force); Newton (Sir Isaac)"
"建てる","たてる","to build, to construct"
"","カード","card (information, filing, etc.); card (greetings, congratulations, etc.); (Western) playing cards; credit card, debit card; card, program, matchup, pairing; dough scraper, spatula"
"","めく","to show signs of ..., to have the appearance of ..."
"事によって","ことによって","via, through, by doing, by means of, using"
"整える","ととのえる","to put in order, to arrange, to tidy up, to fix, to straighten; to get ready, to prepare, to arrange, to supply, to assemble, to buy; to adjust, to regulate (e.g. rhythm, tune, one's breathing); to work out (e.g. business deal), to arrange (e.g. marriage), to settle"
"担当","たんとう","being in charge (of an area of responsibility), being responsible (for a work role, etc.)"
"試す","ためす","to try (out), to have a try (at), to test, to put to the test"
"優れる","すぐれる","to be better (than), to be superior, to surpass, to excel, to be excellent"
"時半","じはん","half past (the hour)"
"身分","みぶん","(social) standing, status, position, rank; identity, birth, origin; one's circumstances, one's means"
"俯く","うつむく","to hang one's head, to look down, to cast one's eyes downward"
"嵐","あらし, アラシ","storm, tempest; uproar, hullabaloo, storm (e.g. of protest), winds (e.g. of change); pile of 3 cards of the same value in oicho-kabu"
"呼びかける","よびかける","to call out to, to hail, to address; to appeal (e.g. to the public), to urge, to exhort, to advise"
"一面","いちめん","one face, one surface; the whole surface; one aspect, one side; (on) the other hand; one broad, flat object; front page (e.g. newspaper)"
"関心","かんしん","concern, interest"
"重大","じゅうだい","serious, important, significant, grave, weighty"
"地図","ちず","map, atlas, chart, plan"
"心から","こころから, しんから","from the bottom of one's heart, heartily, sincerely"
"位","い","rank, place (e.g. first place); decimal place; counter for ghosts"
"思い出","おもいで","memories, recollections, reminiscence"
"拭う","ぬぐう","to wipe, to mop up; to get rid of (an impression, feeling, blemish, etc.), to dispel (e.g. shame), to erase, to remove"
"適当","てきとう, テキトー","suitable, proper, appropriate, adequate, fit, fair; perfunctory, half-minded, sloppy, lazy, careless, noncommittal, unreliable, irresponsible, haphazard"
"掛ける","かける","to hang up (e.g. a coat, a picture on the wall), to let hang, to suspend (from), to hoist (e.g. sail), to raise (e.g. flag); to put on (e.g. a blanket), to put on top of, to cover, to lay, to spread; to put on (glasses, etc.), to wear (a necklace, etc.); to make (a call); to spend (time, money), to expend, to use; to pour (liquid) onto, to sprinkle (powder or spices) onto, to splash, to throw (e.g. water) onto; to turn on (an engine, radio, etc.), to set (a dial, alarm clock, etc.), to put on (a DVD, song, etc.), to use (a device, implement, etc.); to cause (someone inconvenience, trouble, etc.), to burden (someone), to impose; to multiply (arithmetic operation); to secure (e.g. lock); to take a seat, to sit, to rest (something on something else), to support (something on something else); to bind; to wager, to bet, to risk, to stake, to gamble; to put an effect (spell, anaesthetic, etc.) on; to hold (a play, festival, etc.); to hold an emotion for (pity, hope, etc.); to argue (in court), to deliberate (in a meeting), to present (e.g. idea to a conference, etc.); to increase further; to catch (in a trap, etc.); to set atop; to erect (a makeshift building); to apply (insurance); to pun (on a word), to use (a word) as a pivot word, to play on words; to be partway doing ..., to begin (but not complete) ..., to be about to ...; to address (someone), to direct (something, to someone), to do (something, to someone)"
"盤","ばん","board (in shogi, go, chess, etc.); (phonograph) record, disc, disk; board, panel, plate"
"異なる","ことなる","to differ, to be different, to disagree, to vary, to diverge"
"絶える","たえる","to die out, to peter out, to become extinct; to cease, to be stopped, to be discontinued, to be cut off"
"倶楽部","クラブ","club, fraternity, sorority, clubhouse"
"乱れる","みだれる","to be disordered, to be disarranged, to be disarrayed, to be disheveled, to be dishevelled; to be discomposed, to be upset, to get confused, to be disturbed; to lapse into chaos (due to war, etc.)"
"後悔","こうかい","regret, repentance, remorse"
"熊","くま, クマ","bear (any mammal of family Ursidae)"
"不満","ふまん","dissatisfaction, discontent, displeasure, complaint, unhappiness"
"去年","きょねん, こぞ","last year"
"狼","おおかみ, おおかめ, おいぬ, オオカミ","wolf (Canis lupus); wolf in sheep's clothing, womanizer"
"帝国","ていこく","empire; Empire of Japan"
"布団","ふとん","futon, Japanese bedding consisting of a mattress and a duvet; round cushion used for Zen meditation (traditionally made of woven bulrush leaves)"
"生涯","しょうがい","life, lifetime, career; for life, all one's life, throughout one's life, as long as one lives"
"警戒","けいかい","vigilance, caution, alertness, precaution, being on guard"
"直後","ちょくご","immediately following"
"意図","いと","intention, aim, design"
"欧羅巴","ヨーロッパ, ヨーロパ, ヨオロッパ, ヨオロツパ","Europe"
"故に","ゆえに","therefore, consequently"
"帯びる","おびる","to wear (a sword, decoration, etc.), to carry, to bear; to be entrusted with (a mission), to be charged with, to take on; to have (a quality, property, etc.), to have a trace of, to be tinged with"
"持てる","もてる","to be able to possess (hold, get, etc.); to be well liked, to be popular, to be pampered (spoiled, doted upon, etc.), to be welcomed; to endure (the tests of time, the elements, etc.), to last; possessed, held; rich, wealthy, affluent"
"十三","じゅうさん","thirteen, 13; king"
"出入り","でいり, ではいり","going in and out, entering and exiting; visiting regularly, frequenting, having regular dealings with; income and expenditure, incomings and outgoings; increase and decrease, surplus and deficit, fluctuation; fight, trouble, quarrel, dispute; indentations (e.g. of a coastline)"
"に向けて","にむけて","towards (a destination), for the purpose of, with the goal of, targeting (a group, a demographic)"
"裸","はだか","nakedness, nudity; bareness, nakedness, baldness, being uncovered; being penniless; concealing nothing, openness"
"高さ","たかさ","height, altitude, elevation, level; altitude, height"
"豊か","ゆたか","abundant, plentiful, rich, ample; rich, wealthy, affluent, well-off; open (mind), relaxed, easy; plump (e.g. breasts), full, ample; (well) over, (easily) in excess of"
"剥ぐ","はぐ, へぐ","to tear off, to peel off, to rip off, to strip off, to skin, to flay, to bark; to strip of (clothes, rank, etc.), to deprive of, to divest of"
"損","そん","loss, damage, harm, unprofitable; disadvantage, handicap, drawback, unfavorable"
"自己","じこ","self, oneself"
"名乗る","なのる","to give one's name (as), to introduce oneself (as); to claim to be, to call oneself, to wear the title of; to reveal oneself (as), to admit to being; to adopt as one's name, to take (a name); to call out the goods one is selling"
"嬢","じょう","unmarried woman; Miss; -ess, -ette"
"髭","ひげ, ヒゲ","moustache, mustache, beard, whiskers, sideburns; whiskers (on a cat, etc.), feelers (on an insect, etc.), (chin) tuft; shadow (on a candlestick chart)"
"集中","しゅうちゅう","concentration (on a task), focusing one's attention; concentration (of population, buildings, power, etc.), centralization, convergence, focus (of a debate, questions, etc.); within a collection of works"
"無くす","なくす","to lose (something); to get rid of, to eliminate, to remove, to eradicate, to abolish"
"監督","かんとく","supervision, control, superintendence, direction; director, superintendent, supervisor, coach, foreman, manager, overseer, controller, boss"
"制服","せいふく","uniform"
"何者","なにもの","who, what kind of person"
"以後","いご","after this, from now on, hereafter; thereafter, since (then), after"
"越す","こす","to cross over (e.g. mountain), to go across; to get over (e.g. hardship); to pass time (e.g. a winter); to surpass, to be better than, to exceed; to move house; to go, to come"
"練る","ねる","to knead, to thicken into a paste (stirring over a flame); to polish (a plan, etc.), to refine, to elaborate, to work out; to train, to drill, to exercise; to gloss (silk), to soften, to degum; to tan (leather); to temper (steel); to walk in procession, to parade, to march"
"","でなければ, でないと","without, but if, otherwise, or else"
"不味い","まずい, マズイ, マズい","bad(-tasting), unpalatable, unsavoury, unsavory, awful, terrible, unpleasant; poor, unskillful, unskilful, bungling, clumsy; ugly, unattractive, homely, plain; awkward, problematic, troublesome, unfavorable, unfavourable, unwise"
"固まる","かたまる","to harden, to solidify; to become firm, to become certain; to gather (together), to assemble, to huddle together; to freeze, to hang, to stop responding"
"学者","がくしゃ","scholar, academic, scientist; learned person, person of learning"
"完成","かんせい","completion, perfection, accomplishment"
"薔薇","ばら, しょうび, そうび, バラ","rose"
"預ける","あずける","to leave (in someone's keeping), to put (in someone's care), to place (in someone's custody), to entrust (someone) with, to deposit; to put (someone) in charge of, to leave (a matter) in someone's hands, to let (someone) decide; to lean on, to put one's weight on"
"","きつい, キツイ, キツい","tough, hard, severe, demanding, harsh; determined, strong-minded, forceful, formidable, fierce; strong (e.g. sunlight, alcohol), severe, intense; (too) tight, constricting, close; extreme, unusually strong"
"少しずつ","すこしずつ, すこしづつ","little by little, bit by bit"
"懐","ふところ","inside the breast of one's clothing (esp. kimono), bosom, (breast) pocket; space between one's chest and outstretched arms, (one's) reach; heart (e.g. of a mountain), bosom (e.g. of nature), depths, inner part; mind, heart, inner thoughts; money (one is carrying), purse, pocketbook"
"宗教","しゅうきょう","religion, religious affiliation, belief, faith, creed; religious activity"
"装置","そうち","equipment, device, installation, apparatus; stage setting"
"葬送","そうそう","attending a funeral procession, seeing off the deceased, burial of someone's remains, observing a burial"
"基地","きち","base (military, expedition, etc.)"
"信頼","しんらい","trust (in), confidence, faith, reliance"
"容易","ようい","easy, simple, plain"
"船長","せんちょう, ふなおさ","ship's captain, skipper; length of a ship; boatman"
"仁","じん, にん","benevolence (esp. as a virtue of Confucianism), consideration, compassion, humanity, charity; human; kernel; nucleolus"
"決定","けってい","decision, determination"
"に従って","にしたがって","in accordance with, according to, as X, then Y (e.g. as we age we gain wisdom, as wine matures it becomes more valuable, etc.)"
"","カーテン","curtain, curtains"
"指先","ゆびさき","fingertip, finger; toe tip, toe"
"役に立つ","やくにたつ","to be helpful, to be useful"
"呼び出す","よびだす","to call (someone) to (the door, phone, etc.), to tell (someone) to come, to call up (on the phone), to summon, to page, to invoke (e.g. a spirit); to invoke (e.g. a subroutine), to call, to open (e.g. a file)"
"弾む","はずむ","to spring, to bound, to bounce; to be stimulated, to be encouraged, to get lively; to pay handsomely, to splurge, to part eagerly with (money, etc.); to breathe hard, to pant, to be out of breath"
"試みる","こころみる","to try, to attempt, to have a go (at)"
"塔","とう","tower, steeple, spire; stupa, pagoda, dagoba"
